City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Souillac,MU,2021-10-17 07:48:48,-20.5167,57.5167,78.37,78,75,23.02
201,Narrabri,AU,2021-10-17 07:48:51,-30.3167,149.7833,73.49,28,64,5.75
202,Idukki,IN,2021-10-17 07:48:53,9.85,76.9667,72.27,96,100,4.07
203,Bonthe,SL,2021-10-17 07:48:56,7.5264,-12.505,78.55,82,98,0.72
204,Skjervoy,NO,2021-10-17 07:48:58,70.0311,20.9714,42.15,77,100,23.2
205,La Ronge,CA,2021-10-17 07:49:00,55.1001,-105.2842,43.05,75,1,6.91
206,Alvaraes,BR,2021-10-17 07:49:03,-3.2208,-64.8042,73.2,90,100,2.73
207,Bontang,ID,2021-10-17 07:49:05,0.1333,117.5,85.51,66,97,6.38
208,Hithadhoo,MV,2021-10-17 07:49:08,-0.6,73.0833,83.3,78,64,17.4
209,Port-Cartier,CA,2021-10-17 07:49:10,50.0334,-66.8654,48.74,96,100,15.55
210,Lavrentiya,RU,2021-10-17 07:49:13,65.5833,-171.0,29.03,79,100,25.1
211,Bambous Virieux,MU,2021-10-17 07:49:15,-20.3428,57.7575,78.22,78,75,23.02
212,Mutoko,ZW,2021-10-17 07:49:18,-17.397,32.2268,87.84,26,0,8.46
213,Mehamn,NO,2021-10-17 07:49:20,71.0357,27.8492,41.18,91,100,24.02
214,Luderitz,NA,2021-10-17 07:49:22,-26.6481,15.1594,68.67,31,100,19.35
215,Salalah,OM,2021-10-17 07:45:07,17.0151,54.0924,86.09,66,0,8.05
216,Kamenka,RU,2021-10-17 07:49:27,51.3223,42.7678,54.27,55,100,5.35
217,Fortuna,US,2021-10-17 07:49:31,40.5982,-124.1573,49.35,49,1,10.36
218,Hobyo,SO,2021-10-17 07:49:34,5.3505,48.5268,83.3,67,100,17.29
219,Ambulu,ID,2021-10-17 07:49:36,-8.345,113.6058,86.18,63,77,8.3
220,Sterling,US,2021-10-17 07:46:32,39.0062,-77.4286,54.39,86,20,5.99
221,Takoradi,GH,2021-10-17 07:49:41,4.8845,-1.7554,79.77,82,100,5.82
222,Aloleng,PH,2021-10-17 07:49:43,16.1307,119.7824,85.15,73,64,9.84
223,New Norfolk,AU,2021-10-17 07:49:46,-42.7826,147.0587,58.91,53,99,3.0
224,Tchamba,TG,2021-10-17 07:49:48,9.0333,1.4167,78.31,78,100,3.27
225,Atbasar,KZ,2021-10-17 07:49:51,51.8,68.3333,56.12,37,6,11.39
226,Ryotsu,JP,2021-10-17 07:49:54,38.0833,138.4333,55.36,55,57,16.02
227,Anadyr,RU,2021-10-17 07:49:56,64.75,177.4833,25.3,93,90,11.18
228,Roald,NO,2021-10-17 07:49:58,62.5833,6.1333,40.15,87,75,4.61
229,Whitehorse,CA,2021-10-17 07:49:12,60.7161,-135.0538,22.8,75,1,3.0
230,San Remo,IT,2021-10-17 07:50:03,43.8182,7.7612,65.19,66,0,4.0
231,Metro,ID,2021-10-17 07:50:06,-5.1131,105.3067,89.94,54,98,5.39
